Id,Category
1,Rainbow Lorikeet
2,Dusky Moorhen
3,Rainbow Lorikeet
4,Rainbow Lorikeet
5,Rainbow Lorikeet
6,Dusky Moorhen
7,Dusky Moorhen
8,Spotted Pardalote
9,Rainbow Lorikeet
10,Rainbow Lorikeet
11,Rainbow Lorikeet
12,Rainbow Lorikeet
13,Galah
14,Rainbow Lorikeet
15,Spotted Pardalote
16,Spotted Pardalote
17,Galah
18,Rainbow Lorikeet
19,Dusky Moorhen
20,Rainbow Lorikeet
21,Dusky Moorhen
22,Dusky Moorhen
23,Spotted Pardalote
24,Spotted Pardalote
25,Galah
26,Umbrella tree
27,Rainbow Lorikeet
28,Rainbow Lorikeet
29,Rainbow Lorikeet
30,Galah
31,Dusky Moorhen
32,Spotted Pardalote
33,Spotted Pardalote
34,Galah
35,Rainbow Lorikeet
36,Rainbow Lorikeet
37,Rainbow Lorikeet
38,Dusky Moorhen
39,Galah
40,Dusky Moorhen
41,Dusky Moorhen
42,Spotted Pardalote
43,Spotted Pardalote
44,Rainbow Lorikeet
45,Rainbow Lorikeet
46,Rainbow Lorikeet
47,Rainbow Lorikeet
48,Galah
49,Rainbow Lorikeet
50,Rainbow Lorikeet
51,Rainbow Lorikeet
52,Dusky Moorhen
53,Galah
54,Dusky Moorhen
55,Spotted Pardalote
56,Dusky Moorhen
57,Umbrella tree
58,Umbrella tree
59,Dusky Moorhen
60,Rainbow Lorikeet
61,Rainbow Lorikeet
62,Dusky Moorhen
63,Spotted Pardalote
64,Spotted Pardalote
65,Rainbow Lorikeet
66,Rainbow Lorikeet
67,Galah
68,Rainbow Lorikeet
69,Rainbow Lorikeet
70,Dusky Moorhen
71,Spotted Pardalote
72,Dusky Moorhen
73,Rainbow Lorikeet
74,Rainbow Lorikeet
75,Umbrella tree
76,Rainbow Lorikeet
77,Dusky Moorhen
78,Dusky Moorhen
79,Spotted Pardalote
80,Galah
81,Umbrella tree
82,Dusky Moorhen
83,Dusky Moorhen
84,Rainbow Lorikeet
85,Rainbow Lorikeet
86,Umbrella tree
87,Rainbow Lorikeet
88,Spotted Pardalote
89,Galah
90,Dusky Moorhen
91,Dusky Moorhen
92,Dusky Moorhen
93,Spotted Pardalote
94,Dusky Moorhen
95,Rainbow Lorikeet
96,Dusky Moorhen
97,Spotted Pardalote
98,Rainbow Lorikeet
99,Galah
100,Umbrella tree
