Category,Longitude,Latitude
Rainbow Lorikeet,145.12796,-37.91175
Rainbow Lorikeet,145.13826,-37.90758
Rainbow Lorikeet,145.12796,-37.91175
Rainbow Lorikeet,145.1269,-37.91028
Dusky Moorhen,145.13826,-37.90758
Rainbow Lorikeet,145.13826,-37.90758
Galah,145.13826,-37.90758
Galah,145.1389,-37.91028
Rainbow Lorikeet,145.129814,-37.909909
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.129814,-37.909909
Dusky Moorhen,145.13439,-37.91057
Spotted Pardalote,145.1367579,-37.9103087
Rainbow Lorikeet,145.129814,-37.909909
Dusky Moorhen,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Spotted Pardalote,145.1367579,-37.9103087
Rainbow Lorikeet,145.129814,-37.909909
Spotted Pardalote,145.13439,-37.91057
Dusky Moorhen,145.1400375,-37.9096437
Dusky Moorhen,145.13439,-37.91057
Spotted Pardalote,145.13439,-37.91057
Galah,145.13439,-37.91057
Spotted Pardalote,145.1400375,-37.9096437
Spotted Pardalote,145.1367579,-37.9103087
Dusky Moorhen,145.1367579,-37.9103087
Rainbow Lorikeet,145.1416,-37.9083
Rainbow Lorikeet,145.129814,-37.909909
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.138036,-37.907566
Rainbow Lorikeet,145.1367579,-37.9103087
Rainbow Lorikeet,145.1367579,-37.9103087
Dusky Moorhen,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Spotted Pardalote,145.1367579,-37.9103087
Rainbow Lorikeet,145.1367579,-37.9103087
Rainbow Lorikeet,145.1367579,-37.9103087
Rainbow Lorikeet,145.1400375,-37.9096437
Galah,145.13439,-37.91057
Galah,145.13439,-37.91057
Rainbow Lorikeet,145.13439,-37.91057
Rainbow Lorikeet,145.1367579,-37.9103087
Rainbow Lorikeet,145.129814,-37.909909
Galah,145.13439,-37.91057
Spotted Pardalote,145.1367579,-37.9103087
Dusky Moorhen,145.1367579,-37.9103087
Rainbow Lorikeet,145.131766,-37.911499
Rainbow Lorikeet,145.1367579,-37.9103087
Dusky Moorhen,145.13439,-37.91057
Rainbow Lorikeet,145.1367579,-37.9103087
Rainbow Lorikeet,145.13439,-37.91057
Spotted Pardalote,145.13439,-37.91057
Rainbow Lorikeet,145.1367579,-37.9103087
