"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"Record ID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"Catalogue Number","catalogue_number","catalogNumber","catalogue_number","Catalogue Number","catalogue_number","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"Taxon Concept GUID","taxon_concept_lsid","taxonConceptID","taxon_concept_lsid","Taxon Concept GUID","taxon_concept_lsid","Taxon Concept GUID","http://rs.tdwg.org/dwc/terms/taxonConceptID"
"Scientific Name - original","raw_taxon_name","scientificName","raw_taxon_name","Scientific name (unprocessed)","raw_taxon_name","Scientific Name - original","http://rs.tdwg.org/dwc/terms/scientificName"
"Vernacular name - original","raw_common_name","","raw_common_name","Common name (unprocessed)","raw_common_name","Vernacular name - original","The original common name value supplied by the data provider"
"Scientific Name","taxon_name","scientificName","taxon_name","Scientific name","taxon_name","Scientific Name","http://rs.tdwg.org/dwc/terms/scientificName"
"Taxon Rank","rank","taxonRank","rank","Identified to rank","rank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"Vernacular name","common_name","vernacularName","common_name","Common name (processed)","common_name","Vernacular name","http://rs.tdwg.org/dwc/terms/vernacularName"
"Kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"Phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"Class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"Order","order","order","order","Order","order","Order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"Family","family","family","family","Family","family","Family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"Genus","genus","genus","genus","Genus","genus","Genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"Species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"Subspecies","subspecies","","subspecies","Subspecies","subspecies","Subspecies","The subspecies the Atlas has matched this record to in the NSL"
"Data Resource ID","data_resource_uid","","data_resource_uid","Dataset","data_resource_uid","Data Resource ID","The Atlas ID for the data resource"
"Data Resource Name","data_resource","","data_resource","Dataset","data_resource","Data Resource Name","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"Institution ID","institution_uid","","institution_uid","Institution","institution_uid","Institution ID","Atlas ID for this institution"
"Institution","institution_name","","institution_name","Institution","institution_name","Institution","The name in use by the institution having custody of the object(s) or information referred to in the record."
"Collection ID","collection_uid","","collection_uid","Collection","collection_uid","Collection ID","Atlas ID for this collection"
"Collection","collection_name","","collection_name","Collection","collection_name","Collection","The name of the collection for this record e.g. Entomology Collection"
"Licence","license","dcterms:license","license","License","license","Licence","The data licence for this record."
"Institution Code","institution_code","institutionCode","institution_code","Institution Code","institution_code","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"Collection Code","collection_code","collectionCode","collection_code","Collection Code","collection_code","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"Locality","raw_locality","locality","raw_locality","Locality","raw_locality","Locality","http://rs.tdwg.org/dwc/terms/locality"
"Latitude - original","raw_latitude","verbatimLatitude","raw_latitude","Latitude - original","raw_latitude","Latitude - original","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"Longitude - original","raw_longitude","verbatimLongitude","raw_longitude","Longitude - original","raw_longitude","Longitude - original","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"Geodetic datum - original","raw_datum","verbatimCoordinateSystem","raw_datum","Datum","raw_datum","Geodetic datum - original","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"Latitude","latitude","decimalLatitude","latitude","Latitude","latitude","Latitude","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"Longitude","longitude","decimalLongitude","longitude","Longitude","longitude","Longitude","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"Coordinate Precision","coordinate_precision","coordinatePrecision","coordinate_precision","Coordinate Precision","coordinate_precision","Coordinate Precision","http://rs.tdwg.org/dwc/terms/coordinatePrecision"
"Coordinate Uncertainty in Metres","coordinate_uncertainty","coordinateUncertaintyInMeters","coordinate_uncertainty","Coordinate uncertainty (in metres)","coordinate_uncertainty","Coordinate Uncertainty in Metres","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"Country - parsed","country","country","country","Country","country","Country - parsed","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"State - parsed","state","stateProvince","state","State/Territory","state","State - parsed","http://rs.tdwg.org/dwc/terms/stateProvince"
"Local Government Areas 2011","cl959","","cl959","Local Government Areas","cl959","Local Government Areas","https://sampling.ala.org.au/sampling-service/layers/view/more/cl959"
"IMCRA 4 Regions","cl21","","cl21","IMCRA Regions","cl21","IMCRA Regions","https://sampling.ala.org.au/sampling-service/layers/view/more/cl21"
"IBRA 7 Regions","cl1048","","cl1048","IBRA 7 Regions","cl1048","IBRA 7 Regions","https://sampling.ala.org.au/sampling-service/layers/view/more/cl1048"
"Minimum elevation in meters","min_elevation_d","minimumElevationInMeters","min_elevation_d","Minimum elevation in meters","min_elevation_d","Minimum elevation in meters","http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"Maximum elevation in meters","max_elevation_d","maximumElevationInMeters","max_elevation_d","Maximum elevation in meters","max_elevation_d","Maximum elevation in meters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"Minimum depth in meters","min_depth_d","minimumDepthInMeters","min_depth_d","Minimum depth in meters","min_depth_d","Minimum depth in meters","http://rs.tdwg.org/dwc/terms/minimumDepthInMeters"
"Maximum depth in meters","max_depth_d","maximumDepthInMeters","max_depth_d","Maximum depth in meters","max_depth_d","Maximum depth in meters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"Individual count","individual_count","individualCount","individual_count","Individual count","individual_count","Individual count","http://rs.tdwg.org/dwc/terms/individualCount"
"Collector","collector","recordedBy","collector","Collector","collector","Collector","http://rs.tdwg.org/dwc/terms/recordedBy"
"Year","year","year","year","Year","year","Year","http://rs.tdwg.org/dwc/terms/year"
"Month","month","month","month","Month","month","Month","Month of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/month"
"Day","day","day","day","Day","day","Day","http://rs.tdwg.org/dwc/terms/day"
